This application will process for 20m0s
after 401.395165ms; Alloc 90552; TotalAlloc 90552; Sys 1740800; NumGC 0; HeapAlloc 90552; HeapSys 622592; HeapObjects 439; HeapReleased 0;
after 804.754467ms; Alloc 104304; TotalAlloc 116456; Sys 2134016; NumGC 2; HeapAlloc 104304; HeapSys 524288; HeapObjects 472; HeapReleased 32768;
after 1.20739652s; Alloc 104352; TotalAlloc 122432; Sys 2134016; NumGC 4; HeapAlloc 104352; HeapSys 524288; HeapObjects 479; HeapReleased 139264;
after 1.610233394s; Alloc 128704; TotalAlloc 152200; Sys 2134016; NumGC 6; HeapAlloc 128704; HeapSys 393216; HeapObjects 578; HeapReleased 24576;
after 2.013466064s; Alloc 127728; TotalAlloc 159712; Sys 3215360; NumGC 8; HeapAlloc 127728; HeapSys 1441792; HeapObjects 552; HeapReleased 1064960;
after 2.415030577s; Alloc 129360; TotalAlloc 166760; Sys 3215360; NumGC 10; HeapAlloc 129360; HeapSys 1441792; HeapObjects 557; HeapReleased 1064960;
after 2.817591825s; Alloc 138640; TotalAlloc 181456; Sys 3215360; NumGC 12; HeapAlloc 138640; HeapSys 1409024; HeapObjects 582; HeapReleased 0;
after 3.218638905s; Alloc 140304; TotalAlloc 189560; Sys 3215360; NumGC 14; HeapAlloc 140304; HeapSys 1409024; HeapObjects 608; HeapReleased 999424;
after 3.61992341s; Alloc 141136; TotalAlloc 196832; Sys 3215360; NumGC 16; HeapAlloc 141136; HeapSys 1409024; HeapObjects 621; HeapReleased 999424;
after 4.026119988s; Alloc 140208; TotalAlloc 202344; Sys 3215360; NumGC 18; HeapAlloc 140208; HeapSys 1409024; HeapObjects 606; HeapReleased 1032192;
after 4.428454334s; Alloc 138704; TotalAlloc 209328; Sys 3215360; NumGC 20; HeapAlloc 138704; HeapSys 1441792; HeapObjects 582; HeapReleased 1064960;
after 4.837773205s; Alloc 139088; TotalAlloc 215128; Sys 3215360; NumGC 22; HeapAlloc 139088; HeapSys 1474560; HeapObjects 588; HeapReleased 1097728;
after 5.244118678s; Alloc 139408; TotalAlloc 222912; Sys 3215360; NumGC 24; HeapAlloc 139408; HeapSys 1474560; HeapObjects 593; HeapReleased 1064960;
after 5.647198381s; Alloc 138480; TotalAlloc 228424; Sys 3215360; NumGC 26; HeapAlloc 138480; HeapSys 1474560; HeapObjects 578; HeapReleased 1097728;
after 6.049118181s; Alloc 139312; TotalAlloc 234672; Sys 3215360; NumGC 28; HeapAlloc 139312; HeapSys 1474560; HeapObjects 591; HeapReleased 1064960;
after 6.451703602s; Alloc 137680; TotalAlloc 240504; Sys 3215360; NumGC 30; HeapAlloc 137680; HeapSys 1474560; HeapObjects 565; HeapReleased 1097728;
after 6.853477294s; Alloc 139216; TotalAlloc 247456; Sys 3215360; NumGC 32; HeapAlloc 139216; HeapSys 1474560; HeapObjects 589; HeapReleased 1064960;
after 7.255893848s; Alloc 138800; TotalAlloc 253480; Sys 3215360; NumGC 34; HeapAlloc 138800; HeapSys 1474560; HeapObjects 582; HeapReleased 1064960;
after 7.661298953s; Alloc 139376; TotalAlloc 259472; Sys 3215360; NumGC 36; HeapAlloc 139376; HeapSys 1474560; HeapObjects 591; HeapReleased 1032192;
after 8.063706198s; Alloc 138736; TotalAlloc 265272; Sys 3215360; NumGC 38; HeapAlloc 138736; HeapSys 1474560; HeapObjects 581; HeapReleased 1064960;
after 8.46695931s; Alloc 139248; TotalAlloc 271200; Sys 3215360; NumGC 40; HeapAlloc 139248; HeapSys 1474560; HeapObjects 584; HeapReleased 1064960;
after 8.868317217s; Alloc 139248; TotalAlloc 276616; Sys 3215360; NumGC 42; HeapAlloc 139248; HeapSys 1474560; HeapObjects 584; HeapReleased 1064960;
after 9.269855447s; Alloc 139600; TotalAlloc 283408; Sys 3215360; NumGC 44; HeapAlloc 139600; HeapSys 1441792; HeapObjects 589; HeapReleased 1064960;
after 9.671545629s; Alloc 139152; TotalAlloc 289400; Sys 3215360; NumGC 46; HeapAlloc 139152; HeapSys 1441792; HeapObjects 581; HeapReleased 1064960;
after 10.073422203s; Alloc 139168; TotalAlloc 295856; Sys 3215360; NumGC 48; HeapAlloc 139168; HeapSys 1441792; HeapObjects 581; HeapReleased 0;
after 10.477694468s; Alloc 143456; TotalAlloc 305560; Sys 3215360; NumGC 50; HeapAlloc 143456; HeapSys 1409024; HeapObjects 603; HeapReleased 0;
after 10.879058394s; Alloc 143072; TotalAlloc 311616; Sys 3215360; NumGC 52; HeapAlloc 143072; HeapSys 1409024; HeapObjects 597; HeapReleased 999424;
after 11.281500694s; Alloc 154688; TotalAlloc 328648; Sys 3215360; NumGC 54; HeapAlloc 154688; HeapSys 1409024; HeapObjects 628; HeapReleased 0;
after 11.687633532s; Alloc 153792; TotalAlloc 335216; Sys 3215360; NumGC 56; HeapAlloc 153792; HeapSys 1409024; HeapObjects 614; HeapReleased 0;
after 12.090164241s; Alloc 154464; TotalAlloc 341304; Sys 3215360; NumGC 58; HeapAlloc 154464; HeapSys 1409024; HeapObjects 624; HeapReleased 0;
after 12.49269538s; Alloc 154112; TotalAlloc 347392; Sys 3215360; NumGC 60; HeapAlloc 154112; HeapSys 1409024; HeapObjects 618; HeapReleased 1032192;
after 12.901214682s; Alloc 153088; TotalAlloc 353832; Sys 3215360; NumGC 62; HeapAlloc 153088; HeapSys 1409024; HeapObjects 602; HeapReleased 0;
